"name","genre"
"Norah Jones","jazz"
"Louis Armstrong","jazz"
"Ella Fitzgerald","jazz"
"John Coltrane","jazz"
"Nat King Cole","jazz"
"Nina Simone","jazz"
"Etta James","jazz"
"Robert Glasper","jazz"
"Grover Washington, Jr.","jazz"
"Billie Holiday","jazz"
"A Tribe Called Quest","jazz"
"GRiZ","jazz"
"Tom Misch","jazz"
"Miles Davis","jazz"
"Bill Evans","jazz"
"Chet Baker","jazz"
"Ray Charles","jazz"
"Count Basie","jazz"
"Stan Getz","jazz"
"Kenny G","jazz"
"Kris Bowers","jazz"
"Bonobo","jazz"
"George Benson","jazz"
"Caravan Palace","jazz"
"Duke Ellington","jazz"
"Diana Krall","jazz"
"Emancipator","jazz"
"Tony Bennett","jazz"
"Kamasi Washington","jazz"
"Nujabes","jazz"
"Louis Prima","jazz"
"João Gilberto","jazz"
"Natalie Cole","jazz"
"Jon Batiste","jazz"
"Antônio Carlos Jobim","jazz"
"Bobby Darin","jazz"
"Terrace Martin","jazz"
"Astrud Gilberto","jazz"
"Chick Corea","jazz"
"Herbie Hancock","jazz"
"Héctor Lavoe","jazz"
"Thievery Corporation","jazz"
"Pretty Lights","jazz"
"The Cinematic Orchestra","jazz"
"DJ Premier","jazz"
"Oscar Peterson Trio","jazz"
"Yes","jazz"
"DJ Snake","electronic"
"Hippie Sabotage","electronic"
"SLANDER","electronic"
"deadmau5","electronic"
"Nine Inch Nails","electronic"
"Excision","electronic"
"RL Grime","electronic"
"GRiZ","electronic"
"NGHTMRE","electronic"
"Zeds Dead","electronic"
"Martin Jensen","electronic"
"Big Gigantic","electronic"
"Moby","electronic"
"Rezz","electronic"
"San Holo","electronic"
"Dillon Francis","electronic"
"Tycho","electronic"
"Flux Pavilion","electronic"
"Mick Gordon","electronic"
"LCD Soundsystem","electronic"
"Bassnectar","electronic"
"Dabin","electronic"
"Yellow Claw","electronic"
"Aphex Twin","electronic"
"The Avalanches","electronic"
"Little Dragon","electronic"
"DVBBS","electronic"
"Medasin","electronic"
"Alison Wonderland","electronic"
"Emancipator","electronic"
"Bonobo","electronic"
"Carnage","electronic"
"TroyBoi","electronic"
"Dzeko","electronic"
